Contract_ID,Carrier,POL_Origin,POD_Destination,Container_Type,Currency,Agreed_Base_Rate,Fuel_Surcharge_Type,Agreed_Fuel_Rate,Free_Demurrage_Days,Demurrage_Tier1_Rate,Demurrage_Tier2_Rate,Free_Detention_Days,Detention_Daily_Rate
CTR-1001,Maersk,VNHPH,CNSHA,20DC,EUR,2811.0,PERCENTAGE,0.12,5,50.0,100.0,5,40.0
CTR-1002,Maersk,VNHPH,CNSHA,40HC,USD,2629.0,PERCENTAGE,0.12,7,50.0,100.0,3,40.0
CTR-1003,Maersk,VNHPH,DEHAM,20DC,USD,3052.0,FLAT,289.0,5,50.0,100.0,5,40.0
CTR-1004,Maersk,VNHPH,DEHAM,40HC,USD,3231.0,FLAT,203.0,7,50.0,100.0,5,40.0
CTR-1005,Maersk,VNHPH,NLRTM,20DC,USD,1285.0,FLAT,290.0,7,50.0,100.0,3,40.0
CTR-1006,Maersk,VNHPH,NLRTM,40HC,USD,2163.0,PERCENTAGE,0.12,7,50.0,100.0,3,40.0
CTR-1007,Maersk,VNHPH,USLAX,20DC,EUR,2825.0,FLAT,239.0,7,50.0,100.0,5,40.0
CTR-1008,Maersk,VNHPH,USLAX,40HC,USD,2593.0,FLAT,163.0,5,50.0,100.0,5,40.0
CTR-1009,Maersk,VNSGN,CNSHA,20DC,USD,882.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1010,Maersk,VNSGN,CNSHA,40HC,USD,1103.0,PERCENTAGE,0.1,5,50.0,100.0,5,40.0
CTR-1011,Maersk,VNSGN,DEHAM,20DC,USD,2365.0,FLAT,281.0,5,50.0,100.0,5,40.0
CTR-1012,Maersk,VNSGN,DEHAM,40HC,EUR,2086.0,PERCENTAGE,0.1,5,50.0,100.0,3,40.0
CTR-1013,Maersk,VNSGN,NLRTM,20DC,EUR,1346.0,PERCENTAGE,0.15,7,50.0,100.0,3,40.0
CTR-1014,Maersk,VNSGN,NLRTM,40HC,USD,997.0,FLAT,154.0,7,50.0,100.0,5,40.0
CTR-1015,Maersk,VNSGN,USLAX,20DC,EUR,2959.0,FLAT,260.0,7,50.0,100.0,3,40.0
CTR-1016,Maersk,VNSGN,USLAX,40HC,EUR,2293.0,FLAT,183.0,7,50.0,100.0,5,40.0
CTR-1017,Maersk,VNDNG,CNSHA,20DC,USD,1624.0,FLAT,139.0,7,50.0,100.0,3,40.0
CTR-1018,Maersk,VNDNG,CNSHA,40HC,USD,1875.0,FLAT,258.0,5,50.0,100.0,3,40.0
CTR-1019,Maersk,VNDNG,DEHAM,20DC,USD,1447.0,FLAT,297.0,5,50.0,100.0,3,40.0
CTR-1020,Maersk,VNDNG,DEHAM,40HC,USD,2199.0,FLAT,204.0,7,50.0,100.0,5,40.0
CTR-1021,Maersk,VNDNG,NLRTM,20DC,USD,1347.0,FLAT,219.0,5,50.0,100.0,5,40.0
CTR-1022,Maersk,VNDNG,NLRTM,40HC,EUR,474.0,FLAT,196.0,7,50.0,100.0,5,40.0
CTR-1023,Maersk,VNDNG,USLAX,20DC,USD,2499.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1024,Maersk,VNDNG,USLAX,40HC,USD,2092.0,FLAT,291.0,7,50.0,100.0,3,40.0
CTR-1025,CMA CGM,VNHPH,CNSHA,20DC,EUR,972.0,PERCENTAGE,0.12,5,50.0,100.0,3,40.0
CTR-1026,CMA CGM,VNHPH,CNSHA,40HC,EUR,1005.0,FLAT,166.0,5,50.0,100.0,5,40.0
CTR-1027,CMA CGM,VNHPH,DEHAM,20DC,EUR,1790.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1028,CMA CGM,VNHPH,DEHAM,40HC,EUR,1589.0,FLAT,184.0,5,50.0,100.0,5,40.0
CTR-1029,CMA CGM,VNHPH,NLRTM,20DC,USD,2709.0,PERCENTAGE,0.12,5,50.0,100.0,3,40.0
CTR-1030,CMA CGM,VNHPH,NLRTM,40HC,USD,627.0,PERCENTAGE,0.1,5,50.0,100.0,3,40.0
CTR-1031,CMA CGM,VNHPH,USLAX,20DC,USD,1017.0,FLAT,291.0,5,50.0,100.0,3,40.0
CTR-1032,CMA CGM,VNHPH,USLAX,40HC,EUR,1499.0,FLAT,162.0,5,50.0,100.0,3,40.0
CTR-1033,CMA CGM,VNSGN,CNSHA,20DC,USD,942.0,PERCENTAGE,0.12,7,50.0,100.0,5,40.0
CTR-1034,CMA CGM,VNSGN,CNSHA,40HC,USD,811.0,PERCENTAGE,0.1,7,50.0,100.0,3,40.0
CTR-1035,CMA CGM,VNSGN,DEHAM,20DC,USD,1922.0,FLAT,289.0,7,50.0,100.0,3,40.0
CTR-1036,CMA CGM,VNSGN,DEHAM,40HC,USD,551.0,FLAT,245.0,5,50.0,100.0,5,40.0
CTR-1037,CMA CGM,VNSGN,NLRTM,20DC,USD,3103.0,FLAT,159.0,7,50.0,100.0,3,40.0
CTR-1038,CMA CGM,VNSGN,NLRTM,40HC,USD,3022.0,FLAT,239.0,7,50.0,100.0,5,40.0
