Rate_Date,From_Currency,To_Currency,Exchange_Rate
2026-01-01,EUR,USD,1.0865
2026-01-01,VND,USD,4.042e-05
2026-01-02,EUR,USD,1.0826
2026-01-02,VND,USD,4.046e-05
2026-01-03,EUR,USD,1.0876
2026-01-03,VND,USD,4.053e-05
2026-01-04,EUR,USD,1.0893
2026-01-04,VND,USD,4.043e-05
2026-01-05,EUR,USD,1.0842
2026-01-05,VND,USD,4.042e-05
2026-01-06,EUR,USD,1.0819
2026-01-06,VND,USD,4.05e-05
2026-01-07,EUR,USD,1.0799
2026-01-07,VND,USD,4.045e-05
2026-01-08,EUR,USD,1.0866
2026-01-08,VND,USD,4.051e-05
2026-01-09,EUR,USD,1.082
2026-01-09,VND,USD,4.051e-05
2026-01-10,EUR,USD,1.0884
2026-01-10,VND,USD,4.042e-05
2026-01-11,EUR,USD,1.0883
2026-01-11,VND,USD,4.053e-05
2026-01-12,EUR,USD,1.0833
2026-01-12,VND,USD,4.044e-05
2026-01-13,EUR,USD,1.09
2026-01-13,VND,USD,4.047e-05
2026-01-14,EUR,USD,1.0806
2026-01-14,VND,USD,4.043e-05
2026-01-15,EUR,USD,1.0888
2026-01-15,VND,USD,4.052e-05
2026-01-16,EUR,USD,1.0883
2026-01-16,VND,USD,4.054e-05
2026-01-17,EUR,USD,1.0854
2026-01-17,VND,USD,4.058e-05
2026-01-18,EUR,USD,1.0837
2026-01-18,VND,USD,4.051e-05
2026-01-19,EUR,USD,1.0886
2026-01-19,VND,USD,4.052e-05
2026-01-20,EUR,USD,1.0889
2026-01-20,VND,USD,4.051e-05
2026-01-21,EUR,USD,1.0872
2026-01-21,VND,USD,4.043e-05
2026-01-22,EUR,USD,1.082
2026-01-22,VND,USD,4.047e-05
2026-01-23,EUR,USD,1.0804
2026-01-23,VND,USD,4.046e-05
2026-01-24,EUR,USD,1.0807
2026-01-24,VND,USD,4.046e-05
2026-01-25,EUR,USD,1.0865
2026-01-25,VND,USD,4.048e-05
2026-01-26,EUR,USD,1.0836
2026-01-26,VND,USD,4.045e-05
2026-01-27,EUR,USD,1.0825
2026-01-27,VND,USD,4.057e-05
2026-01-28,EUR,USD,1.0866
2026-01-28,VND,USD,4.052e-05
2026-01-29,EUR,USD,1.0814
2026-01-29,VND,USD,4.054e-05
2026-01-30,EUR,USD,1.0813
2026-01-30,VND,USD,4.048e-05
2026-01-31,EUR,USD,1.0903
2026-01-31,VND,USD,4.052e-05
2026-02-01,EUR,USD,1.0856
2026-02-01,VND,USD,4.053e-05
2026-02-02,EUR,USD,1.0887
2026-02-02,VND,USD,4.054e-05
2026-02-03,EUR,USD,1.0821
2026-02-03,VND,USD,4.042e-05
2026-02-04,EUR,USD,1.083
2026-02-04,VND,USD,4.046e-05
2026-02-05,EUR,USD,1.0819
2026-02-05,VND,USD,4.057e-05
2026-02-06,EUR,USD,1.0891
2026-02-06,VND,USD,4.047e-05
2026-02-07,EUR,USD,1.0867
2026-02-07,VND,USD,4.048e-05
2026-02-08,EUR,USD,1.0895
2026-02-08,VND,USD,4.049e-05
2026-02-09,EUR,USD,1.0824
2026-02-09,VND,USD,4.046e-05
2026-02-10,EUR,USD,1.0857
2026-02-10,VND,USD,4.046e-05
2026-02-11,EUR,USD,1.0859
2026-02-11,VND,USD,4.056e-05
2026-02-12,EUR,USD,1.0839
2026-02-12,VND,USD,4.045e-05
2026-02-13,EUR,USD,1.0904
2026-02-13,VND,USD,4.05e-05
2026-02-14,EUR,USD,1.0806
2026-02-14,VND,USD,4.043e-05
2026-02-15,EUR,USD,1.0808
2026-02-15,VND,USD,4.052e-05
2026-02-16,EUR,USD,1.0882
2026-02-16,VND,USD,4.049e-05
2026-02-17,EUR,USD,1.0803
2026-02-17,VND,USD,4.048e-05
2026-02-18,EUR,USD,1.0904
2026-02-18,VND,USD,4.05e-05
2026-02-19,EUR,USD,1.0901
2026-02-19,VND,USD,4.056e-05
2026-02-20,EUR,USD,1.0797
2026-02-20,VND,USD,4.054e-05
2026-02-21,EUR,USD,1.087
2026-02-21,VND,USD,4.051e-05
2026-02-22,EUR,USD,1.0825
2026-02-22,VND,USD,4.052e-05
2026-02-23,EUR,USD,1.0808
2026-02-23,VND,USD,4.049e-05
2026-02-24,EUR,USD,1.0845
2026-02-24,VND,USD,4.057e-05
2026-02-25,EUR,USD,1.0891
2026-02-25,VND,USD,4.046e-05
