Invoice_Number,BOL_Number,Carrier,Invoice_Date,Invoice_Currency,Billed_Weight_KG,Billed_Base_Rate,Billed_Fuel_Surcharge,Billed_Demurrage_Amount,Billed_Detention_Amount,Billed_Total_Amount
INV-2026-5001,BOL202600001,Evergreen,2026-02-07,USD,19885.4,2473.0,206.0,0.0,0.0,2679.0
INV-2026-5002,BOL202600002,Maersk,2026-05-26,USD,17072.7,2092.0,291.0,0.0,240.0,2623.0
INV-2026-5003,BOL202600003,Evergreen,2026-03-02,USD,14531.9,1708.0,226.0,350.0,200.0,2484.0
INV-2026-5004,BOL202600004,Maersk,2026-06-14,USD,10876.5,1875.0,258.0,50.0,40.0,2223.0
INV-2026-5005,BOL202600005,Maersk,2026-03-03,USD,11919.7,997.0,154.0,350.0,80.0,1581.0
INV-2026-5006,BOL202600006,COSCO,2026-03-10,USD,21258.7,792.0,79.2,150.0,360.0,1381.2
INV-2026-5007,BOL202600007,ONE,2026-04-21,VND,21872.7,2426.0,182.0,0.0,200.0,2808.0
INV-2026-5008,BOL202600008,ONE,2026-02-16,EUR,19174.4,1230.0,123.0,250.0,80.0,1683.0
INV-2026-5009,BOL202600009,Evergreen,2026-04-05,USD,25459.2,2116.0,253.92,650.0,200.0,3219.92
INV-2026-5010,BOL202600010,Maersk,2026-05-28,USD,16970.8,1285.0,290.0,150.0,0.0,1725.0
INV-2026-5011,BOL202600011,ONE,2026-05-09,VND,13545.2,29816500.0,4472475.0,0.0,5880000.0,40168975.0
INV-2026-5012,BOL202600012,Maersk,2026-02-25,USD,15590.0,2025.0,258.0,750.0,320.0,3353.0
INV-2026-5013,BOL202600013,Maersk,2026-03-05,USD,14095.5,3231.0,203.0,200.0,0.0,3634.0
INV-2026-5014,BOL202600014,Evergreen,2026-02-14,USD,20047.2,2730.0,135.0,450.0,320.0,3635.0
INV-2026-5015,BOL202600015,Evergreen,2026-07-02,USD,24112.8,1765.0,128.0,250.0,280.0,2423.0
INV-2026-5016,BOL202600016,Evergreen,2026-04-21,USD,11092.6,3043.0,293.0,450.0,80.0,3866.0
